entry_year,grade,semester,course_name,course_code,completion_type,credits,notes
2024,1,1,해부생리학1,ADB101,전선,2,대표 학정번호 ADB101: 2026-1 개설 이력 기준.
2024,1,1,약학기초생물학1,ADB002,전선,3,대표 학정번호 ADB002: 2026-1 개설 이력 기준.
2024,1,1,약학기초화학1,ADB003,전선,3,대표 학정번호 ADB003: 2026-1 개설 이력 기준.
2024,1,2,해부생리학2,ADB102,전선,2,대표 학정번호 ADB102: 2026-2 개설 이력 기준.
2024,1,2,약학기초생물학2,ADB005,전선,3,대표 학정번호 ADB005: 2026-2 개설 이력 기준.
2024,1,2,약학기초화학2,ADB006,전선,3,대표 학정번호 ADB006: 2026-2 개설 이력 기준.
2024,2,1,병태생리학1,ADB007,전선,2,대표 학정번호 ADB007: 2026-1 개설 이력 기준.
2024,2,1,약품생화학1,ADB008,전필,3,"대표 학정번호 ADB008: 2026-1 개설 이력 기준. 이전 확인 코드: ADA042(2022-1, 약품생화학 1)."
2024,2,1,약학실험1,ADB013,전필,2,"대표 학정번호 ADB013: 2026-1 개설 이력 기준. 이전 확인 코드: ADA201(2023-1, 약학실험 1)."
2024,2,1,약용식물학,ADB049,전필,2,"대표 학정번호 ADB049: 2026-1 개설 이력 기준. 이전 확인 코드: ADA203(2023-1, 약용식물학)."
2024,2,1,약화학1,ADB009,전필,3,대표 학정번호 ADB009: 2026-1 개설 이력 기준.
2024,2,1,의약품분석학1,ADB011,전필,2,대표 학정번호 ADB011: 2026-1 개설 이력 기준.
2024,2,1,물리약학1,ADB010,전필,3,"대표 학정번호 ADB010: 2026-1 개설 이력 기준. 이전 확인 코드: ADA076(2023-1, 물리약학 1)."
2024,2,1,약학통계,ADB012,전필,2,"대표 학정번호 ADB012: 2026-1 개설 이력 기준. 이전 확인 코드: ADA051(2023-1, 약학통계)."
2024,2,2,병태생리학2,ADB015,전선,2,대표 학정번호 ADB015: 2026-2 개설 이력 기준.
2024,2,2,약학실험2,ADB022,전필,2,"대표 학정번호 ADB022: 2026-2 개설 이력 기준. 이전 확인 코드: ADA195(2023-2, 약학실험 2)."
2024,2,2,약품생화학2,ADB016,전필,2,"대표 학정번호 ADB016: 2026-2 개설 이력 기준. 이전 확인 코드: ADA012(2023-2, 약품생화학 2)."
2024,2,2,의약분자생물학,ADB017,전선,2,"대표 학정번호 ADB017: 2026-2 개설 이력 기준. 이전 확인 코드: ADA181(2022-2, 의약분자생물학)."
2024,2,2,약품면역학,ADB021,전필,2,대표 학정번호 ADB021: 2026-2 개설 이력 기준.
2024,2,2,약화학2,ADB018,전선,3,대표 학정번호 ADB018: 2025-2 개설 이력 기준.
2024,2,2,의약품분석학2,ADB020,전필,2,대표 학정번호 ADB020: 2026-2 개설 이력 기준.
2024,2,2,의약품개발사,ADB105,전선,2,대표 학정번호 ADB105: 2026-2 개설 이력 기준.
2024,2,2,물리약학2,ADB019,전필,2,"대표 학정번호 ADB019: 2026-2 개설 이력 기준. 이전 확인 코드: ADA041(2023-2, 물리약학 2)."
2024,3,1,약물학1,ADB024,전필,3,"대표 학정번호 ADB024: 2026-1 개설 이력 기준. 이전 확인 코드: ADA030(2024-1, 약물학 1)."
2024,3,1,약품미생물학,ADB025,전필,3,"대표 학정번호 ADB025: 2026-1 개설 이력 기준. 이전 확인 코드: ADA104(2024-1, 약품 미생물학)."
