grade,semester,normalized_course_name,display_course_name,pair_codes,years_present,code_1,code_1_2022_status,code_1_2022_generation,code_1_2023_status,code_1_2023_generation,code_1_2024_status,code_1_2024_generation,code_2,code_2_2022_status,code_2_2022_generation,code_2_2023_status,code_2_2023_generation,code_2_2024_status,code_2_2024_generation,resolved_member_count,resolved_member_codes,resolved_generations,continuity_pattern,review_priority,continuity_note
4,1,건강기능식품학,건강기능식품학,ADA182;ADB050,2022;2023,ADA182,paired_unknown,,probable,six_year,,,ADB050,paired_unknown,,paired_unknown,,,,1,ADA182,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
4,1,나노약학,나노약학,ADA229;ADB054,2023;2024,ADA229,,,paired_unknown,,paired_unknown,,ADB054,,,probable,six_year,paired_unknown,,1,ADB054,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
4,1,의약화학1,의약화학 1,ADA102;ADB047,2022;2023;2024,ADA102,paired_unknown,,paired_unknown,,paired_unknown,,ADB047,paired_unknown,,paired_unknown,,probable,six_year,1,ADB047,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
4,1,천연물의약품학,천연물의약품학,ADA122;ADB048,2022;2023;2024,ADA122,paired_unknown,,paired_unknown,,paired_unknown,,ADB048,paired_unknown,,paired_unknown,,probable,six_year,1,ADB048,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
4,1,향장품학,향장품학,ADA120;ADB043,2022;2023;2024,ADA120,paired_unknown,,paired_unknown,,paired_unknown,,ADB043,paired_unknown,,paired_unknown,,paired_unknown,,0,,,never_resolved,high,pair repeats across years but neither member has independent generation resolution
4,2,법과학,법과학,ADA230;ADB061,2023,ADA230,,,paired_unknown,,,,ADB061,,,probable,six_year,,,1,ADB061,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
4,2,생물약제학,생물약제학,ADA033;ADB057,2022;2023;2024,ADA033,paired_unknown,,paired_unknown,,paired_unknown,,ADB057,paired_unknown,,paired_unknown,,probable,six_year,1,ADB057,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
4,2,약물동태학,약물동태학,ADA086;ADB058,2022;2023;2024,ADA086,paired_unknown,,paired_unknown,,paired_unknown,,ADB058,paired_unknown,,paired_unknown,,probable,six_year,1,ADB058,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
4,2,의약화학2,의약화학 2,ADA103;ADB059,2023;2024,ADA103,,,paired_unknown,,paired_unknown,,ADB059,,,paired_unknown,,probable,six_year,1,ADB059,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
5,1,의약품제조관리학,의약품제조관리학,ADA171;ADB072,2022;2023;2024,ADA171,paired_unknown,,paired_unknown,,probable,six_year,ADB072,paired_unknown,,paired_unknown,,paired_unknown,,1,ADA171,six_year,one_member_resolved_probable_only,medium,one member is resolved only through probable evidence; useful for review but not safe for propagation
