academic_year,classification,confidence,source_kind,course_name,baseline_code,seed_code,baseline_grade,seed_grade,baseline_semester,seed_semester,baseline_completion_type,seed_completion_type,baseline_credits,seed_credits,changed_fields,db_signal,baseline_db_terms,seed_db_terms,exact_name_db_codes,attribute_change_effective_year,evidence,recommended_action
2022,seed_wrong_or_suspect_code,high,code_pair,심화실습 1,ADA226,ADB099,6,6,2,2,전필,전필,5,5,,baseline_code_only_in_db,2022-2;2023-2;2024-2;2025-2;2026-2,,ADA226,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2022,seed_wrong_or_suspect_code,high,code_pair,심화실습 2,ADA227,ADB100,6,6,2,2,전필,전필,5,5,,baseline_code_only_in_db,2022-2;2023-2;2024-2;2025-2;2026-2,,ADA227,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2022,seed_wrong_or_suspect_code,high,code_pair,의료기관약국 필수실무실습 1,ADA213,ADB093,6,6,1,1,전필,전필,3,3,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA213,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2022,seed_wrong_or_suspect_code,high,code_pair,의료기관약국 필수실무실습 2,ADA214,ADB094,6,6,1,1,전필,전필,2,2,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA214,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2022,seed_wrong_or_suspect_code,high,code_pair,의료기관약국 필수실무실습 3,ADA215,ADB095,6,6,1,1,전필,전필,3,3,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA215,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2022,seed_wrong_or_suspect_code,high,code_pair,의료기관약국 필수실무실습 4,ADA216,ADB096,6,6,1,1,전필,전필,2,2,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA216,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2022,seed_wrong_or_suspect_code,high,code_pair,제약산업 필수실무실습,ADA218,ADB097,6,6,1,1,전필,전필,2,2,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA218,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2022,seed_wrong_or_suspect_code,high,code_pair,지역약국 필수실무실습 1,ADA219,ADB092,6,6,1,1,전필,전필,2,2,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA219,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2022,seed_wrong_or_suspect_code,high,code_pair,지역약국 필수실무실습 2,ADA220,ADB098,6,6,2,2,전필,전필,3,3,,baseline_code_only_in_db,2022-2;2023-2;2024-2;2025-2;2026-2,,ADA220,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2023,seed_wrong_or_suspect_code,high,code_pair,심화실습 1,ADA226,ADB099,6,6,2,2,전필,전필,5,5,,baseline_code_only_in_db,2022-2;2023-2;2024-2;2025-2;2026-2,,ADA226,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2023,seed_wrong_or_suspect_code,high,code_pair,심화실습 2,ADA227,ADB100,6,6,2,2,전필,전필,5,5,,baseline_code_only_in_db,2022-2;2023-2;2024-2;2025-2;2026-2,,ADA227,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2023,seed_wrong_or_suspect_code,high,code_pair,약무행정실무필수실습,ADA174,ADB087,5,5,2,2,전필,전필,1,1,,baseline_code_only_in_db,2022-2;2023-2;2024-2;2025-2;2026-2,,ADA174,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2023,seed_wrong_or_suspect_code,high,code_pair,약전 및 품질관리학,ADA167,ADB081,5,5,2,2,전선,전선,3,3,,baseline_code_only_in_db,2022-2;2023-2;2024-2;2025-2;2026-2,,ADA167,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2023,seed_wrong_or_suspect_code,high,code_pair,의료기관약국 필수실무실습 1,ADA213,ADB093,6,6,1,1,전필,전필,3,3,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA213,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2023,seed_wrong_or_suspect_code,high,code_pair,의료기관약국 필수실무실습 2,ADA214,ADB094,6,6,1,1,전필,전필,2,2,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA214,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2023,seed_wrong_or_suspect_code,high,code_pair,의료기관약국 필수실무실습 3,ADA215,ADB095,6,6,1,1,전필,전필,3,3,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA215,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2023,seed_wrong_or_suspect_code,high,code_pair,의료기관약국 필수실무실습 4,ADA216,ADB096,6,6,1,1,전필,전필,2,2,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA216,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2023,seed_wrong_or_suspect_code,high,code_pair,의약품제조관리학,ADA171,ADB072,5,5,1,1,전선,전선,3,3,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA171,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2023,seed_wrong_or_suspect_code,high,code_pair,제약산업 필수실무실습,ADA218,ADB097,6,6,1,1,전필,전필,2,2,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA218,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2023,seed_wrong_or_suspect_code,high,code_pair,지역약국 예비실무실습,ADA115,ADB075,5,5,1,1,전필,전필,2,2,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA115,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2023,seed_wrong_or_suspect_code,high,code_pair,지역약국 필수실무실습 1,ADA219,ADB092,6,6,1,1,전필,전필,2,2,,baseline_code_only_in_db,2022-1;2023-1;2024-1;2025-1;2026-1,,ADA219,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
2023,seed_wrong_or_suspect_code,high,code_pair,지역약국 필수실무실습 2,ADA220,ADB098,6,6,2,2,전필,전필,3,3,,baseline_code_only_in_db,2022-2;2023-2;2024-2;2025-2;2026-2,,ADA220,,baseline_code_has_actual_offering_history;seed_code_has_no_actual_offering_history;same_name_unique_pair,Review seed representative course_code. Do not change baseline.
